Solar Radiation (Clear Sky),Air Temperature,Dew Point Temperature,Wet Bulb Temperature ,Humidity,Wind Speed,Day of Week,Month,Solar Radiation (All Sky)_Lag_1,Air Temperature_Lag_1,Humidity_Lag_1,Wind Speed_Lag_1,Solar Radiation (All Sky)_Lag_2,Air Temperature_Lag_2,Humidity_Lag_2,Wind Speed_Lag_2,Solar Radiation (All Sky)_Lag_3,Air Temperature_Lag_3,Humidity_Lag_3,Wind Speed_Lag_3,Temp_Rolling_Mean,Humidity_Rolling_Mean,Wind Speed_Rolling_Mean,Fourier_Transform_Solar_Radiation,Solar Radiation (All Sky)
0.473949388,0.525595855,0.535552194,0.574306569,0.261337868,0.223776224,3.0,10.0,0.473949388,0.535129534,0.248866213,0.254370629,0.473949388,0.550051813,0.238662132,0.27972028,0.473949388,0.569119171,0.23015873,0.298076923,0.625967184875,0.2775415720833333,0.2674096737083333,109.86389915990172,0.473949388
0.473949388,0.520829016,0.548159355,0.578394161,0.272108844,0.201923077,3.0,10.0,0.473949388,0.525595855,0.261337868,0.223776224,0.473949388,0.535129534,0.248866213,0.254370629,0.473949388,0.550051813,0.238662132,0.27972028,0.6265112263333333,0.2753448600833333,0.26533362475,71.00177245148953,0.473949388
0.473949388,0.517927461,0.556984367,0.581313869,0.280612245,0.180944056,3.0,10.0,0.473949388,0.520829016,0.272108844,0.201923077,0.473949388,0.525595855,0.261337868,0.223776224,0.473949388,0.535129534,0.248866213,0.254370629,0.6274784111249999,0.2728883219166667,0.263439685375,78.68449969434006,0.473949388
0.473949388,0.516476684,0.564548664,0.584817518,0.287414966,0.163461538,3.0,10.0,0.473949388,0.517927461,0.280612245,0.180944056,0.473949388,0.520829016,0.272108844,0.201923077,0.473949388,0.525595855,0.261337868,0.223776224,0.6287392055833333,0.2701955781666667,0.2619099650833333,82.73982817630018,0.473949388
0.473949388,0.516062176,0.571860817,0.588613139,0.294217687,0.145979021,3.0,10.0,0.473949388,0.516476684,0.287414966,0.163461538,0.473949388,0.517927461,0.280612245,0.180944056,0.473949388,0.520829016,0.272108844,0.201923077,0.6300604490833334,0.267290249375,0.2609994172916667,115.42860705446404,0.473949388
0.473949388,0.514404145,0.580937973,0.59270073,0.302154195,0.136363636,3.0,10.0,0.473949388,0.516062176,0.294217687,0.145979021,0.473949388,0.516476684,0.287414966,0.163461538,0.473949388,0.517927461,0.280612245,0.180944056,0.6312435233333333,0.2642431972083333,0.2611086829999999,93.88440578559369,0.473949388
0.511443102,0.521243523,0.590771558,0.603211679,0.311791383,0.127622378,3.0,10.0,0.473949388,0.514404145,0.302154195,0.136363636,0.473949388,0.516062176,0.294217687,0.145979021,0.473949388,0.516476684,0.287414966,0.163461538,0.6321761657916666,0.261125283375,0.2621284965416666,90.76536547150252,0.510375649
0.609525481,0.574300518,0.602370146,0.64729927,0.323129252,0.145979021,3.0,10.0,0.510375649,0.521243523,0.311791383,0.127622378,0.473949388,0.514404145,0.302154195,0.136363636,0.473949388,0.516062176,0.294217687,0.145979021,0.6333160621666667,0.2581018517916666,0.264350233125,90.11572702177094,0.606560332
0.718595516,0.637512953,0.631366616,0.708613139,0.35430839,0.158216783,3.0,10.0,0.606560332,0.574300518,0.323129252,0.145979021,0.510375649,0.521243523,0.311791383,0.127622378,0.473949388,0.514404145,0.302154195,0.136363636,0.6343091537083333,0.2562122070416666,0.2675189394166666,83.84172932154121,0.715943487
0.80988889,0.71357513,0.649268785,0.772554745,0.37414966,0.25,3.0,10.0,0.715943487,0.637512953,0.35430839,0.158216783,0.606560332,0.574300518,0.323129252,0.145979021,0.510375649,0.521243523,0.311791383,0.127622378,0.6342573402499999,0.2583144368333333,0.2677010489583333,77.31341608939024,0.808679109
0.873698893,0.750259067,0.629097327,0.786861314,0.351473923,0.289335664,3.0,10.0,0.808679109,0.71357513,0.37414966,0.25,0.715943487,0.637512953,0.35430839,0.158216783,0.606560332,0.574300518,0.323129252,0.145979021,0.6340587219166666,0.2615032123333333,0.2671911421666667,80.47779659646223,0.873637218
0.893377992,0.773264249,0.614977307,0.794744526,0.3361678,0.325174825,3.0,10.0,0.873637218,0.750259067,0.351473923,0.289335664,0.808679109,0.71357513,0.37414966,0.25,0.715943487,0.637512953,0.35430839,0.158216783,0.6337305699583333,0.265306122375,0.2665719696666667,87.23097363084841,0.893221433
0.88121851,0.787772021,0.603883006,0.798540146,0.324829932,0.34965035,3.0,10.0,0.893221433,0.773264249,0.3361678,0.325174825,0.873637218,0.750259067,0.351473923,0.289335664,0.808679109,0.71357513,0.37414966,0.25,0.6333419689166667,0.2695105819583333,0.2656978437916666,79.66866861093756,0.881052462
0.83224374,0.794818653,0.595310136,0.798540146,0.316326531,0.365384615,3.0,10.0,0.881052462,0.787772021,0.324829932,0.34965035,0.893221433,0.773264249,0.3361678,0.325174825,0.873637218,0.750259067,0.351473923,0.289335664,0.6329447322916667,0.273951247125,0.2645687645416666,90.657708802092,0.832234252
0.750457819,0.794196891,0.58698941,0.793284672,0.308390023,0.379370629,3.0,10.0,0.832234252,0.794818653,0.316326531,0.365384615,0.881052462,0.787772021,0.324829932,0.34965035,0.893221433,0.773264249,0.3361678,0.325174825,0.6326338514583333,0.27836829175,0.2632575757083333,72.69453313414657,0.748000304
0.647683389,0.784041451,0.582702975,0.783649635,0.304421769,0.393356643,3.0,10.0,0.748000304,0.794196891,0.308390023,0.379370629,0.832234252,0.794818653,0.316326531,0.365384615,0.881052462,0.787772021,0.324829932,0.34965035,0.6324093264166667,0.2827144746666666,0.261946386875,70.24865445052569,0.643736182
0.544164113,0.762072539,0.583207262,0.768467153,0.304988662,0.38986014,3.0,10.0,0.643736182,0.784041451,0.304421769,0.393356643,0.748000304,0.794196891,0.308390023,0.379370629,0.832234252,0.794818653,0.316326531,0.365384615,0.6322711571666667,0.2869897959166667,0.2609994171666667,57.06707638178766,0.541848924
0.479158562,0.686839378,0.590015129,0.719416058,0.311791383,0.26048951,3.0,10.0,0.541848924,0.762072539,0.304988662,0.38986014,0.643736182,0.784041451,0.304421769,0.393356643,0.748000304,0.794196891,0.308390023,0.379370629,0.6324956822083333,0.2913359788333333,0.2602709789166667,90.53399477066613,0.478940327
0.473949388,0.641243523,0.602118003,0.694306569,0.323696145,0.287587413,3.0,10.0,0.478940327,0.686839378,0.311791383,0.26048951,0.541848924,0.762072539,0.304988662,0.38986014,0.643736182,0.784041451,0.304421769,0.393356643,0.6328497409166666,0.2959419879166666,0.2595061187916667,80.11163308981513,0.473949388
0.473949388,0.621761658,0.617498739,0.689635036,0.339569161,0.302447552,3.0,10.0,0.473949388,0.641243523,0.323696145,0.287587413,0.478940327,0.686839378,0.311791383,0.26048951,0.541848924,0.762072539,0.304988662,0.38986014,0.63327288425,0.300996787625,0.25910547775,80.03856894158247,0.473949388
0.473949388,0.602072539,0.633635905,0.684963504,0.356575964,0.308566434,3.0,10.0,0.473949388,0.621761658,0.339569161,0.302447552,0.473949388,0.641243523,0.323696145,0.287587413,0.478940327,0.686839378,0.311791383,0.26048951,0.6337737478333333,0.3065476190833333,0.259069055875,62.98447503184256,0.473949388
0.473949388,0.581968912,0.646243066,0.677956204,0.370181406,0.303321678,3.0,10.0,0.473949388,0.602072539,0.356575964,0.308566434,0.473949388,0.621761658,0.339569161,0.302447552,0.473949388,0.641243523,0.323696145,0.287587413,0.6343091537083333,0.31238189725,0.2592875873333333,67.30271631198812,0.473949388
0.473949388,0.562279793,0.653555219,0.668613139,0.378684807,0.287587413,3.0,10.0,0.473949388,0.581968912,0.370181406,0.303321678,0.473949388,0.602072539,0.356575964,0.308566434,0.473949388,0.621761658,0.339569161,0.302447552,0.6348186528750001,0.3182161753749999,0.2596153845416666,67.02100560229341,0.473949388
0.473949388,0.544455959,0.656833081,0.657810219,0.382653061,0.271853147,3.0,10.0,0.473949388,0.562279793,0.378684807,0.287587413,0.473949388,0.581968912,0.370181406,0.303321678,0.473949388,0.602072539,0.356575964,0.308566434,0.6352072539166667,0.323790627375,0.2603438227916666,54.42193834603396,0.473949388
